Ty Dolla $ign	Entergalactic
Ricky Adelayitor	Beasts of No Nation
Ken Adelman	Why We Fight
Diane Adelson	Manos: The Hands of Fate
Alexa Adeosun	The Princess Switch
Jovan Adepo	Fences
Jovan Adepo	Misanthrope
Jovan Adepo	Overlord
Frank Aderias	The Gold Rush
Daniel Ades	Real Genius
Georges Adet	Love and Death
Kamala Adhikari	Aparajito
Alexandra Adi	Jawbreaker
Dimas Aditya	Pengabdi Setan
Isabelle Adjani	Diabolique
Isabelle Adjani	Ishtar
Isabelle Adjani	La reine Margot
Isabelle Adjani	Le locataire
Isabelle Adjani	Nosferatu - Phantom der Nacht
Isabelle Adjani	Possession
Isabelle Adjani	Subway
Isabelle Adjani	The Driver
Laura Adkin	It's a Disaster
Scott Adkins	Accident Man
Scott Adkins	Assassination Games
Scott Adkins	Avengement
Scott Adkins	Ninja
Scott Adkins	Ninja: Shadow of a Tear
Scott Adkins	The Legend of Hercules
Scott Adkins	Triple Threat
Scott Adkins	Universal Soldier: Day of Reckoning
Scott Adkins	Yip Man 4
Trace Adkins	An American Carol
Trace Adkins	I Can Only Imagine
Trace Adkins	Moms' Night Out
Trace Adkins	Old Henry
Thomas Adlam	They Shall Not Grow Old
Jerry Adler	Manhattan Murder Mystery
Luther Adler	D.O.A.
Gideon Adlon	Sick
Gideon Adlon	The Craft: Legacy
Gideon Adlon	The Mustang
Pamela Adlon	Vampire Hunter D: Bloodlust
Kristina Adolphson	Fanny och Alexander
Mario Adorf	Die Blechtrommel
Guido Adorni	Berberian Sound Studio
Andrew Adote	Beasts of No Nation
Bob Adriaens	Snowtown
Max Adrian	The Devils
Scott Adsit	Big Hero 6
Frank Adu	Love and Death
Juan Carlos Aduviri	También la lluvia
Kiara Advani	Bharat Ane Nenu
Kiara Advani	Bhool Bhulaiyaa 2
Kiara Advani	Good Newwz
Kiara Advani	Govinda Naam Mera
Kiara Advani	Jug Jugg Jeeyo
Kiara Advani	Kabir Singh
Kiara Advani	Kalank
Kiara Advani	Laxmii
Kiara Advani	Lust Stories
Kiara Advani	M.S. Dhoni: The Untold Story
Kiara Advani	Satyaprem Ki Katha
Kiara Advani	Shershaah
Regina Advento	Pina
Dwayne Adway	Soul Plane
Ljubica Adzovic	Dom za vesanje
Soo Ae	Gamgi
Emmanuel Affadzi	Beasts of No Nation
Ben Affleck	200 Cigarettes
Ben Affleck	Air
Ben Affleck	Argo
Ben Affleck	Armageddon
Ben Affleck	Batman v Superman: Dawn of Justice
Ben Affleck	Bounce
Ben Affleck	Changing Lanes
Ben Affleck	Chasing Amy
Ben Affleck	Daredevil
Ben Affleck	Deep Water
Ben Affleck	Dogma
Ben Affleck	Extract
Ben Affleck	Forces of Nature
Ben Affleck	Gigli
Ben Affleck	Gone Girl
Ben Affleck	Good Will Hunting
Ben Affleck	Hollywoodland
Ben Affleck	Hypnotic
Ben Affleck	Jay and Silent Bob Reboot
Ben Affleck	Jersey Girl
Ben Affleck	Justice League
Ben Affleck	Live by Night
Ben Affleck	Paycheck
Ben Affleck	Pearl Harbor
Ben Affleck	Reindeer Games
Ben Affleck	Runner Runner
Ben Affleck	State of Play
Ben Affleck	Surviving Christmas
Ben Affleck	The Accountant
Ben Affleck	The Company Men
Ben Affleck	The Last Thing He Wanted
Ben Affleck	The Sum of All Fears
Ben Affleck	The Tender Bar
Ben Affleck	The Town
Ben Affleck	The Way Back
Ben Affleck	To the Wonder
Ben Affleck	Triple Frontier
Ben Affleck	Zack Snyder's Justice League
Casey Affleck	200 Cigarettes
Casey Affleck	A Ghost Story
Casey Affleck	Ain't Them Bodies Saints
Casey Affleck	Gerry
Casey Affleck	Gone Baby Gone
Casey Affleck	Light of My Life
Casey Affleck	Manchester by the Sea
Casey Affleck	Our Friend
Casey Affleck	Out of the Furnace
Casey Affleck	The Assassination of Jesse James by the Coward Robert Ford
Casey Affleck	The Finest Hours
Casey Affleck	The Killer Inside Me
Casey Affleck	The Last Kiss
Casey Affleck	The Old Man & the Gun
Casey Affleck	The World to Come
Casey Affleck	To Die For
Casey Affleck	Tower Heist
Casey Affleck	Triple 9
Neil Affleck	My Bloody Valentine
Rab Affleck	Joan of Arc
Yves Afonso	Week End
Afra	For Sama
Arianna Afsar	Wedding Season
Ali Afshar	A California Christmas
Bishop Agapit	Winter on Fire: Ukraine's Fight for Freedom
Lyubov Agapova	Lilja 4-ever
John Agar	Miracle Mile
John Agar	Sands of Iwo Jima
John Agar	She Wore a Yellow Ribbon
John Agar	Tarantula
Mohan Agashe	Toofaan
Arthur Agee	Hoop Dreams
Robert Agengo	The Boy Who Harnessed the Wind
Kajal Aggarwal	Business Man
Kajal Aggarwal	Jilla
Kajal Aggarwal	Magadheera
Kajal Aggarwal	Singham
Kajal Aggarwal	Thuppakki
Kajal Aggarwal	Vivegam
Hamid Aghazi	Avaze gonjeshk-ha
Shohreh Aghdashloo	The Exorcism of Emily Rose
Shohreh Aghdashloo	The Nativity Story
Shohreh Aghdashloo	The Stoning of Soraya M.
Ramón Agirre	Errementari
Keith Agius	Wyrmwood
Alicia Agneson	The Courier
Apurva Agnihotri	Pardes
Rati Agnihotri	Hum Tum
Raphaëlle Agogué	Comme un chef
Mukesh Agrohari	72 Hoorain
Mukesh Agrohari	Aamir
Dianna Agron	I Am Number Four
Dianna Agron	The Family
Christina Aguilera	Burlesque
Marco Antonio Aguirre	Sin nombre
Jenny Agutter	An American Werewolf in London
Jenny Agutter	Child's Play 2
Jenny Agutter	Logan's Run
Jenny Agutter	The Eagle Has Landed
Jenny Agutter	Walkabout
Yoo Ah-in	#Saraitda
Yoo Ah-in	Beoning
Abolfazl Ahankhah	Nema-ye Nazdik
Mehrdad Ahankhah	Nema-ye Nazdik
Ahd	Wadjda
Brian Aherne	I Confess
Michael Aherne	The Commitments
Jaideep Ahlawat	An Action Hero
Jaideep Ahlawat	Jaane Jaan
Jaideep Ahlawat	Raees
Börje Ahlstedt	Fanny och Alexander
Börje Ahlstedt	Ronja Rövardotter
Alex Ahlstrom	Jing wu feng yun: Chen Zhen
Dolly Ahluwalia	Chhatriwali
Dolly Ahluwalia	Vicky Donor
Jassa Ahluwalia	Slaughterhouse Rulez
Ibrahim Ahmed	Timbuktu
Riz Ahmed	Encounter
Riz Ahmed	Four Lions
Riz Ahmed	Ill Manors
Riz Ahmed	Les frères Sisters
Riz Ahmed	Nightcrawler
Riz Ahmed	Nimona
Riz Ahmed	Sound of Metal
Riz Ahmed	The Reluctant Fundamentalist
Riz Ahmed	The Road to Guantanamo
Riz Ahmed	Una
Riz Ahmed	Venom
Shahzad Ahmed	Manjhi: The Mountain Man
Luran Ahmeti	Limonata
Seo-hyun Ahn	Okja
Eero Aho	Tuntematon sotilas
Shiney Ahuja	Bhool Bhulaiyaa
Médina El Aidi-Azouni	Mignonnes
Danny Aiello	2 Days in the Valley
Danny Aiello	City Hall
Danny Aiello	Do the Right Thing
Danny Aiello	Harlem Nights
Danny Aiello	Hudson Hawk
Danny Aiello	Jacob's Ladder
Danny Aiello	Little Italy
Danny Aiello	Léon
Danny Aiello	Moonstruck
Danny Aiello	The Purple Rose of Cairo
Hiroaki Aikawa	Life in a Day
Natsuki Aikawa	Shingeki no Kyojin: Chronicle
Liam Aiken	A Series of Unfortunate Events
Liam Aiken	Road to Perdition
Luke Aikman	Fever Pitch
Anouk Aimée	8½
Anouk Aimée	La dolce vita
Anouk Aimée	Un homme et une femme
Benjamin Evan Ainsworth	Pinocchio
Lexi Ainsworth	Wild Child
Alex Aiono	Finding 'Ohana
Malou Airaudo	Pina
Charles Aitken	Happy Death Day
David Ajala	Kill Command
Florijan Ajdini	Crna macka, beli macor
Birce Akalay	Nefes: Vatan Sagolsun
Tarik Akan	Canim Kardesim
Tarik Akan	Hababam Sinifi
Tarik Akan	Vizontele Tuuba
Tarik Akan	Yol
Chinatsu Akasaki	Gekijouban Jujutsu Kaisen 0
Miyoko Akaza	Shurayukihime
Demet Akbag	Eyyvah Eyvah
Demet Akbag	Eyyvah Eyvah 2
Demet Akbag	Kis Uykusu
Demet Akbag	Neredesin Firuze
Demet Akbag	Organize Isler
Demet Akbag	Vizontele
Demet Akbag	Vizontele Tuuba
Maryam Akbari	Avaze gonjeshk-ha
Aydemir Akbas	Kolpaçino
Deniz Akdeniz	Sightless
Deniz Akdeniz	Tomorrow, When the War Began
Tolga Akdogan	Dag
Parthaa Akerkar	Heropanti
Iben Akerlie	Torden
Malin Akerman	27 Dresses
Malin Akerman	CBGB
Malin Akerman	Catch .44
Malin Akerman	Couples Retreat
Malin Akerman	Happythankyoumoreplease
Malin Akerman	Rampage
Malin Akerman	Stolen
Malin Akerman	The Bang Bang Club
Malin Akerman	The Final Girls
Malin Akerman	The Giant Mechanical Man
Malin Akerman	The Heartbreak Kid
Malin Akerman	The Numbers Station
Malin Akerman	The Romantics
Malin Akerman	Wanderlust
Malin Akerman	Watchmen
Donna Akersten	Meet the Feebles
Desiree Akhavan	Creep 2
Adeel Akhtar	Four Lions
Farhan Akhtar	Bhaag Milkha Bhaag
Farhan Akhtar	Karthik Calling Karthik
Farhan Akhtar	Luck by Chance
Farhan Akhtar	Rock On!!
Farhan Akhtar	Toofaan
Farhan Akhtar	Wazir
Farhan Akhtar	Zindagi Na Milegi Dobara
Mohamed Akhzam	Babel
Philip Akin	P2
Fisayo Akinade	The Girl with All the Gifts
Fisayo Akinade	The Isle
Adewale Akinnuoye-Agbaje	Bilal: A New Breed of Hero
Adewale Akinnuoye-Agbaje	G.I. Joe: The Rise of Cobra
Adewale Akinnuoye-Agbaje	Get Rich or Die Tryin'
Adewale Akinnuoye-Agbaje	Legionnaire
Adewale Akinnuoye-Agbaje	Pompeii
Claude Akins	Battle for the Planet of the Apes
Oksana Akinshina	Chernobyl
Oksana Akinshina	Lilja 4-ever
Oksana Akinshina	Sputnik
Yuzuki Akiyama	Kamera o tomeru na!
Amala Akkineni	Karwaan
Naga Chaitanya Akkineni	Manam
Nagarjuna Akkineni	Brahmastra Part One: Shiva
Nagarjuna Akkineni	Manam
Alican Akman	Sen Aydinlatirsin Geceyi
Ibrahim Akoz	Nefes: Vatan Sagolsun
Metin Akpinar	Canim Kardesim
Metin Akpinar	Köyden Indim Sehire
Ayda Aksel	Ask Tesadüfleri Sever
Nisa Sofiya Aksongur	Yedinci Kogustaki Mucize
Saadet Aksoy	Venuto al mondo
Firuze Gamze Aksu	Recep Ivedik 4
Gamze Aksu	Recep Ivedik 4
Ilker Aksum	Vavien
Lyubov Aksyonova	Koma
Lyubov Aksyonova	Mayor Grom: Chumnoy Doktor
Mesut Akusta	Dag
Engin Akyürek	Bi Küçük Eylül Meselesi
Engin Akyürek	Kader
Halit Akçatepe	Canim Kardesim
Halit Akçatepe	Hababam Sinifi
Halit Akçatepe	Hababam Sinifi Uyaniyor
Halit Akçatepe	Saban Oglu Saban
Halit Akçatepe	Süt Kardesler
Alex Al	This Is It
Hudhail Al-Amir	Boyz n the Hood
Jacir Eid Al-Hwietat	Theeb
Waad Al-Kateab	For Sama
Hamza Al-Khateab	For Sama
Sama Al-Khateab	For Sama
Hassan Mutlag Al-Maraiyeh	Theeb
Hussein Salameh Al-Sweilhiyeen	Theeb
Derya Alabora	Masumiyet
Nick Alachiotis	Erased
Donny Alamsyah	Serbuan maut
Lissi Alandh	Tystnaden
Mazhar Alanson	Her Sey Çok Güzel Olacak
Mazhar Alanson	Hokkabaz
Morjana Alaoui	Martyrs
Zeki Alasya	Köyden Indim Sehire
Zeki Alasya	Pardon
Carlos Alazraqui	Happy Feet Two
Carlos Alazraqui	Planes
Jessica Alba	4: Rise of the Silver Surfer
Jessica Alba	Awake
Jessica Alba	Bill
Jessica Alba	Escape from Planet Earth
Jessica Alba	Fantastic Four
Jessica Alba	Good Luck Chuck
Jessica Alba	Honey
Jessica Alba	Idle Hands
Jessica Alba	Into the Blue
Jessica Alba	Machete
Jessica Alba	Machete Kills
Jessica Alba	Mechanic: Resurrection
Jessica Alba	Sin City
Jessica Alba	Sin City: A Dame to Kill For
Jessica Alba	Some Kind of Beautiful
Jessica Alba	Spy Kids 4: All the Time in the World
Jessica Alba	The Eye
Jessica Alba	The Killer Inside Me
Jessica Alba	The Love Guru
Jessica Alba	The Ten
Jessica Alba	Valentine's Day
Mike Albanese	O.J.: Made in America
Josh Albee	Jeremiah Johnson
Sergio Albelli	La pazza gioia
Helena Albergaria	Que Horas Ela Volta?
Eddie Albert	Dreamscape
Eddie Albert	Escape to Witch Mountain
Eddie Albert	Roman Holiday
Eddie Albert	The Longest Yard
Edward Albert	Guarding Tess
Éva Almássy Albert	Sátántangó
Giorgio Albertazzi	L'année dernière à Marienbad
Jada Alberts	The Stranger
Jack Albertson	Dead & Buried
Jack Albertson	The Fox and the Hound
Jack Albertson	Willy Wonka & the Chocolate Factory
Jens Albinus	Direktøren for det hele
Jens Albinus	Idioterne
Francesc Albiol	Perfume: The Story of a Murderer
Chris Albrecht	The Aristocrats
Hardie Albright	Bambi
Luke Albright	The Dyatlov Pass Incident
Tucker Albrizzi	ParaNorman
Tucker Albrizzi	Sicko
Victoria Alcock	No One Gets Out Alive
Damián Alcázar	Blue Beetle
Damián Alcázar	El infierno
Alan Alda	Bridge of Spies
Alan Alda	Canadian Bacon
Alan Alda	Flash of Genius
Alan Alda	Mad City
Alan Alda	The Longest Ride
Alan Alda	Tower Heist
Alan Alda	What Women Want
Rutanya Alda	Amityville II: The Possession
Rutanya Alda	When a Stranger Calls
Jennifer Alden	Blind Dating
Norman Alden	The Transformers: The Movie
Don Alder	Homeward Bound: The Incredible Journey
John Alderton	Calendar Girls
John Alderton	Zardoz
Ben Aldridge	Knock at the Cabin
Norma Aleandro	El hijo de la novia
Norma Aleandro	La historia oficial
Raphael Alejandro	How to Be a Latin Lover
Vanessa Aleksander	Sala samobójców. Hejter
Grigoriy Aleksandrov	Bronenosets Potemkin
Mija Aleksic	Maratonci trce pocasni krug
Melkon Alekyan	Sayat Nova
Baraa Alem	Shams Al-Ma'arif
Vera Alentova	Moskva slezam ne verit
John Ales	Nutty Professor II: The Klumps
Fausto Russo Alesi	Il traditore
Raquel Alessi	Miss March
Chris Jai Alex	Berserk: Ougon jidai-hen II - Dorudorei koryaku
Adriana Alexander	Barb Wire
David Alexander	Miss Pettigrew Lives for a Day
Flex Alexander	Out Cold
Gordon Alexander	Final Score
Jace Alexander	Eight Men Out
Jaimie Alexander	Last Seen Alive
Jane Alexander	Brubaker
Jane Alexander	City Heat
Jane Alexander	Kramer vs. Kramer
Jane Alexander	Mr. Morgan's Last Love
Jason Alexander	Dunston Checks In
Jason Alexander	Leo
Jason Alexander	North
Jason Alexander	Pretty Woman
Jason Alexander	Shallow Hal
Jason Alexander	The Adventures of Rocky & Bullwinkle
Jason Alexander	The Hunchback of Notre Dame
John Alexander	Hellboy II: The Golden Army
Kathryn Alexander	Choke
Michelle Alexander	13th
Nadia Alexander	Not Okay
Olly Alexander	Enter the Void
Pico Alexander	Home Again
Stan Alexander	Bambi
Terence Alexander	The Day of the Jackal
Terry Alexander	Day of the Dead
Rodolfo De Alexandre	Medicine Man
Dennis Alexio	Kickboxer
Phyllis Alexion	Larry the Cable Guy: Health Inspector
Alvin Alexis	Night of the Demons
Ajiona Alexus	Breaking In
Lidia Alfonsi	I tre volti della paura
Niamh Algar	Censor
Niamh Algar	The Wonder
Michael Algieri	Happythankyoumoreplease
Stéphane Algoud	Joan of Arc
Zafer Algöz	A.R.O.G
Zafer Algöz	Karakomik Filmler: 2 Arada
Zafer Algöz	Karakomik Filmler: Kaçamak
Zafer Algöz	Pek Yakinda
Zafer Algöz	Yahsi Bati
Ismail Alhassan	Shams Al-Ma'arif
Arsher Ali	The Ritual
Asif Ali	2018
Asif Ali	Kaun Pravin Tambe?
Elisha Ali	Emelie
Mahershala Ali	Alita: Battle Angel
Mahershala Ali	Free State of Jones
Mahershala Ali	Green Book
Mahershala Ali	Moonlight
Mahershala Ali	Spider-Man: Into the Spider-Verse
Mahershala Ali	Swan Song
Muhammad Ali	When We Were Kings
Padmashri Mohammad Ali	Aruvi
Sajal Ali	Mom
Sophia Ali	Uncharted
Tatyana Ali	Eddie Murphy: Raw
Hrant Alianak	Pontypool
Taraneh Alidoosti	Baradaran-e Leila
Taraneh Alidoosti	Chaharshanbe-soori
Taraneh Alidoosti	Darbareye Elly
Taraneh Alidoosti	Forushande
Allakariallak	Nanook of the North
Roger Allam	Tamara Drewe
Roger Allam	The Angels' Share
Allegoo	Nanook of the North
Aleisha Allen	Are We Done Yet?
Aleisha Allen	Are We There Yet?
Alfie Allen	John Wick
Billie Allen	Eddie Murphy: Raw
Brian Keith Allen	Taxi to the Dark Side
Brittany Allen	Extraterrestrial
Chad Allen	Terra
Chas Allen	American Animals
Flynn Allen	The Last Boy
Joan Allen	A Good Marriage
Joan Allen	Death Race
Joan Allen	Face/Off
Joan Allen	Hachi: A Dog's Tale
Joan Allen	Manhunter
Joan Allen	Nixon
Joan Allen	Pleasantville
Joan Allen	Searching for Bobby Fischer
Joan Allen	The Bourne Supremacy
Joan Allen	The Bourne Ultimatum
Joan Allen	The Contender
Joan Allen	The Crucible
Joan Allen	The Ice Storm
Joan Allen	The Upside of Anger
Joan Allen	Tucker: The Man and His Dream
Karen Allen	Cruising
Karen Allen	Indiana Jones and the Dial of Destiny
Karen Allen	Indiana Jones and the Kingdom of the Crystal Skull
Karen Allen	National Lampoon's Animal House
Karen Allen	Raiders of the Lost Ark
Karen Allen	Scrooged
Karen Allen	Starman
Karen Allen	The Wanderers
Keegan Allen	Follow Me
Kiera Allen	Run
Krista Allen	Feast
Krista Allen	The Final Destination
Kyle Allen	The Greatest Beer Run Ever
Kyle Allen	The Map of Tiny Perfect Things
Laura Allen	Clown
Laurie Allen	The Devil and Daniel Johnston
Lee Allen	Ill Manors
Morgan Allen	Anon
Nancy Allen	1941
Nancy Allen	Blow Out
Nancy Allen	Dressed to Kill
Nancy Allen	Poltergeist III
Nancy Allen	RoboCop
Nancy Allen	RoboCop 2
Nancy Allen	RoboCop 3
Nancy Allen	The Philadelphia Experiment
Penelope Allen	Dog Day Afternoon
Ray Allen	He Got Game
Rex Allen	Charlotte's Web
Robert Allen	American Factory
Ronald Allen	A Night to Remember
Ryder Allen	Palmer
Tessa Allen	Enough
Tim Allen	Big Trouble
Tim Allen	Christmas with the Kranks
Tim Allen	For Richer or Poorer
Tim Allen	Galaxy Quest
Tim Allen	Joe Somebody
Tim Allen	Jungle 2 Jungle
Tim Allen	Redbelt
Tim Allen	The Santa Clause
Tim Allen	The Santa Clause 2
Tim Allen	The Santa Clause 3: The Escape Clause
Tim Allen	The Shaggy Dog
Tim Allen	Toy Story
Tim Allen	Toy Story 2
Tim Allen	Toy Story 3
Tim Allen	Toy Story 4
Tim Allen	Wild Hogs
Tim Allen	Zoom
Todd Allen	The Apostle
Tyrees Allen	The Perfect Host
Woody Allen	A Midsummer Night's Sex Comedy
Woody Allen	Annie Hall
Woody Allen	Antz
Woody Allen	Anything Else
Woody Allen	Bananas
Woody Allen	Broadway Danny Rose
Woody Allen	Crimes and Misdemeanors
Woody Allen	Deconstructing Harry
Woody Allen	Everyone Says I Love You
Woody Allen	Everything You Always Wanted to Know About Sex * But Were Afraid to Ask
Woody Allen	Fading Gigolo
Woody Allen	Hollywood Ending
Woody Allen	Husbands and Wives
Woody Allen	Love and Death
Woody Allen	Manhattan
Woody Allen	Manhattan Murder Mystery
Woody Allen	Mighty Aphrodite
Woody Allen	New York Stories
Woody Allen	Play It Again, Sam
